"","video_id","publishedAt","title","description","id","viewCount","likeCount","favoriteCount","commentCount"
"202","8p1ut3aRvoQ",2022-05-09,"Russia GROUNDS Nuclear &#39;Doomsday Plane&#39; After Threats | Breaking Points with Krystal and Saagar","Krystal and Saagar cover the Russian WWII parade that was expected to be a chance for Putin to threaten the West that did not ...","8p1ut3aRvoQ",95349,2776,0,532
"203","5uvCZcFZf9w",2022-05-26,"INSANE Ballot Access Scandal UPENDS Michigan GOP Gov Race | Breaking Points with Krystal and Saagar","Krystal and Saagar discuss the widespread ballot counting fraud in the Michigan GOP Gov primary for the chance to face ...","5uvCZcFZf9w",75772,2628,0,680
"204","D49sFBwow5I",2022-07-28,"EXPLAINED: CHIPS Act PASSES As Bernie RAGES | Breaking Points with Krystal and Saagar","Krystal and Saagar explain the details of the CHIPS act meant to address US semiconductor manufacturing that passed the ...","D49sFBwow5I",137845,4903,0,1584
"205","C7BObYk1Nrw",2022-07-29,"Anti-Populist DISTRUST Of Fellow Citizens On The Rise | Breaking Points with Krystal and Saagar","Krystal and Saagar look deeper at the meaning of civil war discourse and troubling polling emerging that show a deep distrust ...","C7BObYk1Nrw",33418,1333,0,399
"206","qLojWB9rWws",2022-06-28,"Grill Dads Will Pay 36% MORE For July 4th BBQ | Breaking Points with Krystal and Saagar","Krystal and Saagar examine the ways inflation will impact the prices of basic goods to be used by grill dads during July 4th BBQ ...","qLojWB9rWws",68137,2328,0,569
"207","lCcORgUNE1U",2022-04-28,"Elon TRASHES Trump&#39;s Truth Social | Breaking Points with Krystal and Saagar","Krystal and Saagar evaluate the points made by Elon Musk about Trump's TRUTH social network and it's performance in the app ...","lCcORgUNE1U",113332,3683,0,537
"208","6l-o7aoARKI",2022-08-04,"MASSIVE GOP Cope After Losing Abortion Vote | Breaking Points with Krystal and Saagar","Krystal and Saagar respond to the GOP and pro-life cope about losing badly in the Kansas abortion vote To become a Breaking ...","6l-o7aoARKI",85264,2759,0,785
"209","DQgpekwysMs",2022-04-26,"McCarthy FALLS APART Over Trump Lies In Fox Interview | Breaking Points with Krystal and Saagar","Krystal and Saagar respond to Kevin McCarthy being pressed by Fox News on the lies he told them about comments he made ...","DQgpekwysMs",56766,2007,0,327
"210","Mzy1w8YvYUg",2022-08-02,"China Threatens Outright WAR OVER Pelosi Visit To Taiwan | Breaking Points with Krystal and Saagar","Krystal and Saagar respond to the outright threats from state sponsored Chinese commentators about war due to Pelosi's visit to ...","Mzy1w8YvYUg",157267,5077,0,1802
"211","LSnINiDt6kA",2022-06-17,"Google Engineer Claims AI Machine Has COME TO LIFE | Breaking Points with Krystal and Saagar","Krystal and Saagar try to make sense of the claim by a Google engineer that the company's artificial intelligence machine has ...","LSnINiDt6kA",136669,4373,0,1453
